EmpID|Name|Project|Performance_Rating|Bonus
4001|Associate_1|Alpha|1|5000
4002|Associate_2|Beta|2|5500
4003|Associate_3|Gamma|3|6000
4004|Associate_4|Delta|4|6500
4005|Associate_5|Omega|5|7000
4006|Associate_6|Alpha|1|7500
4007|Associate_7|Beta|2|8000
4008|Associate_8|Gamma|3|8500
4009|Associate_9|Delta|4|9000
4010|Associate_10|Omega|5|9500
4011|Associate_11|Alpha|1|10000
4012|Associate_12|Beta|2|10500
4013|Associate_13|Gamma|3|11000
4014|Associate_14|Delta|4|11500
4015|Associate_15|Omega|5|12000
4016|Associate_16|Alpha|1|12500
4017|Associate_17|Beta|2|13000
4018|Associate_18|Gamma|3|13500
4019|Associate_19|Delta|4|14000
4020|Associate_20|Omega|5|14500
4021|Associate_21|Alpha|1|15000
4022|Associate_22|Beta|2|15500
4023|Associate_23|Gamma|3|16000
4024|Associate_24|Delta|4|16500
4025|Associate_25|Omega|5|17000
4026|Associate_26|Alpha|1|17500
4027|Associate_27|Beta|2|18000
4028|Associate_28|Gamma|3|18500
4029|Associate_29|Delta|4|19000
4030|Associate_30|Omega|5|19500
